Country,Team,Medal,Rank,Iden,maxRank,maxGoldRank,maxSilverRank,maxBronzeRank
Australia,Australia,Silver,1,All,3,0,2,3
Australia,Australia,Silver,2,All,3,0,2,3
Australia,Australia,Bronze,3,All,3,0,2,3
Australia,Snowboard (Australia),Silver,1,Top,2,0,1,2
Australia,Snowboard (Australia),Bronze,2,Top,2,0,1,2
Australia,Rest of Australia,Silver,1,Rest,1,0,1,0
Austria,Austria,Gold,1,All,14,5,8,14
Austria,Austria,Gold,2,All,14,5,8,14
Austria,Austria,Gold,3,All,14,5,8,14
Austria,Austria,Gold,4,All,14,5,8,14
Austria,Austria,Gold,5,All,14,5,8,14
Austria,Austria,Silver,6,All,14,5,8,14
Austria,Austria,Silver,7,All,14,5,8,14
Austria,Austria,Silver,8,All,14,5,8,14
Austria,Austria,Bronze,9,All,14,5,8,14
Austria,Austria,Bronze,10,All,14,5,8,14
Austria,Austria,Bronze,11,All,14,5,8,14
Austria,Austria,Bronze,12,All,14,5,8,14
Austria,Austria,Bronze,13,All,14,5,8,14
Austria,Austria,Bronze,14,All,14,5,8,14
Austria,Alpine Skiing (Austria),Gold,1,Top,7,3,5,7
Austria,Alpine Skiing (Austria),Gold,2,Top,7,3,5,7
Austria,Alpine Skiing (Austria),Gold,3,Top,7,3,5,7
Austria,Alpine Skiing (Austria),Silver,4,Top,7,3,5,7
Austria,Alpine Skiing (Austria),Silver,5,Top,7,3,5,7
Austria,Alpine Skiing (Austria),Bronze,6,Top,7,3,5,7
Austria,Alpine Skiing (Austria),Bronze,7,Top,7,3,5,7
Austria,Rest of Austria,Gold,1,Rest,7,2,3,7
Austria,Rest of Austria,Gold,2,Rest,7,2,3,7
Austria,Rest of Austria,Silver,3,Rest,7,2,3,7
Austria,Rest of Austria,Bronze,4,Rest,7,2,3,7
Austria,Rest of Austria,Bronze,5,Rest,7,2,3,7
Austria,Rest of Austria,Bronze,6,Rest,7,2,3,7
Austria,Rest of Austria,Bronze,7,Rest,7,2,3,7
Belarus,Belarus,Gold,1,All,3,2,3,0
Belarus,Belarus,Gold,2,All,3,2,3,0
Belarus,Belarus,Silver,3,All,3,2,3,0
Belarus,Biathlon (Belarus),Gold,1,Top,2,1,2,0
Belarus,Biathlon (Belarus),Silver,2,Top,2,1,2,0
Belarus,Rest of Belarus,Gold,1,Rest,1,1,0,0
Belgium,Belgium,Silver,1,All,1,0,1,0
Belgium,Speed skating (Belgium),Silver,1,Top,1,0,1,0
Britain,Britain,Gold,1,All,5,1,0,5
Britain,Britain,Bronze,2,All,5,1,0,5
Britain,Britain,Bronze,3,All,5,1,0,5
Britain,Britain,Bronze,4,All,5,1,0,5
Britain,Britain,Bronze,5,All,5,1,0,5
Britain,Skeleton (Britain),Gold,1,Top,3,1,0,3
Britain,Skeleton (Britain),Bronze,2,Top,3,1,0,3
Britain,Skeleton (Britain),Bronze,3,Top,3,1,0,3
Britain,Rest of Britain,Bronze,1,Rest,2,0,0,2
Britain,Rest of Britain,Bronze,2,Rest,2,0,0,2
Canada,Canada,Gold,1,All,29,11,19,29
Canada,Canada,Gold,2,All,29,11,19,29
Canada,Canada,Gold,3,All,29,11,19,29
Canada,Canada,Gold,4,All,29,11,19,29
Canada,Canada,Gold,5,All,29,11,19,29
Canada,Canada,Gold,6,All,29,11,19,29
Canada,Canada,Gold,7,All,29,11,19,29
Canada,Canada,Gold,8,All,29,11,19,29
Canada,Canada,Gold,9,All,29,11,19,29
Canada,Canada,Gold,10,All,29,11,19,29
Canada,Canada,Gold,11,All,29,11,19,29
Canada,Canada,Silver,12,All,29,11,19,29
Canada,Canada,Silver,13,All,29,11,19,29
Canada,Canada,Silver,14,All,29,11,19,29
Canada,Canada,Silver,15,All,29,11,19,29
Canada,Canada,Silver,16,All,29,11,19,29
Canada,Canada,Silver,17,All,29,11,19,29
Canada,Canada,Silver,18,All,29,11,19,29
Canada,Canada,Silver,19,All,29,11,19,29
Canada,Canada,Bronze,20,All,29,11,19,29
Canada,Canada,Bronze,21,All,29,11,19,29
Canada,Canada,Bronze,22,All,29,11,19,29
Canada,Canada,Bronze,23,All,29,11,19,29
Canada,Canada,Bronze,24,All,29,11,19,29
Canada,Canada,Bronze,25,All,29,11,19,29
Canada,Canada,Bronze,26,All,29,11,19,29
Canada,Canada,Bronze,27,All,29,11,19,29
Canada,Canada,Bronze,28,All,29,11,19,29
Canada,Canada,Bronze,29,All,29,11,19,29
Canada,Freestyle Skating (Canada),Gold,1,Top,7,4,6,7
Canada,Freestyle Skating (Canada),Gold,2,Top,7,4,6,7
Canada,Freestyle Skating (Canada),Gold,3,Top,7,4,6,7
Canada,Freestyle Skating (Canada),Gold,4,Top,7,4,6,7
Canada,Freestyle Skating (Canada),Silver,5,Top,7,4,6,7
Canada,Freestyle Skating (Canada),Silver,6,Top,7,4,6,7
Canada,Freestyle Skating (Canada),Bronze,7,Top,7,4,6,7
Canada,Rest of Canada,Gold,1,Rest,22,7,13,22
Canada,Rest of Canada,Gold,2,Rest,22,7,13,22
Canada,Rest of Canada,Gold,3,Rest,22,7,13,22
Canada,Rest of Canada,Gold,4,Rest,22,7,13,22
Canada,Rest of Canada,Gold,5,Rest,22,7,13,22
Canada,Rest of Canada,Gold,6,Rest,22,7,13,22
Canada,Rest of Canada,Gold,7,Rest,22,7,13,22
Canada,Rest of Canada,Silver,8,Rest,22,7,13,22
Canada,Rest of Canada,Silver,9,Rest,22,7,13,22
Canada,Rest of Canada,Silver,10,Rest,22,7,13,22
Canada,Rest of Canada,Silver,11,Rest,22,7,13,22
Canada,Rest of Canada,Silver,12,Rest,22,7,13,22
Canada,Rest of Canada,Silver,13,Rest,22,7,13,22
Canada,Rest of Canada,Bronze,14,Rest,22,7,13,22
Canada,Rest of Canada,Bronze,15,Rest,22,7,13,22
Canada,Rest of Canada,Bronze,16,Rest,22,7,13,22
Canada,Rest of Canada,Bronze,17,Rest,22,7,13,22
Canada,Rest of Canada,Bronze,18,Rest,22,7,13,22
Canada,Rest of Canada,Bronze,19,Rest,22,7,13,22
Canada,Rest of Canada,Bronze,20,Rest,22,7,13,22
Canada,Rest of Canada,Bronze,21,Rest,22,7,13,22
Canada,Rest of Canada,Bronze,22,Rest,22,7,13,22
China,China,Gold,1,All,9,1,7,9
China,China,Silver,2,All,9,1,7,9
China,China,Silver,3,All,9,1,7,9
China,China,Silver,4,All,9,1,7,9
China,China,Silver,5,All,9,1,7,9
China,China,Silver,6,All,9,1,7,9
China,China,Silver,7,All,9,1,7,9
China,China,Bronze,8,All,9,1,7,9
China,China,Bronze,9,All,9,1,7,9
China,Freestyle Skating (China),Silver,1,Top,3,0,2,3
China,Freestyle Skating (China),Silver,2,Top,3,0,2,3
China,Freestyle Skating (China),Bronze,3,Top,3,0,2,3
China,Rest of China,Gold,1,Rest,6,1,5,6
China,Rest of China,Silver,2,Rest,6,1,5,6
China,Rest of China,Silver,3,Rest,6,1,5,6
China,Rest of China,Silver,4,Rest,6,1,5,6
China,Rest of China,Silver,5,Rest,6,1,5,6
China,Rest of China,Bronze,6,Rest,6,1,5,6
Czech Republic,Czech Republic,Gold,1,All,7,2,4,7
Czech Republic,Czech Republic,Gold,2,All,7,2,4,7
Czech Republic,Czech Republic,Silver,3,All,7,2,4,7
Czech Republic,Czech Republic,Silver,4,All,7,2,4,7
Czech Republic,Czech Republic,Bronze,5,All,7,2,4,7
Czech Republic,Czech Republic,Bronze,6,All,7,2,4,7
Czech Republic,Czech Republic,Bronze,7,All,7,2,4,7
Czech Republic,Snowboard (Czech Republic),Gold,1,Top,2,1,0,2
Czech Republic,Snowboard (Czech Republic),Bronze,2,Top,2,1,0,2
Czech Republic,Rest of Czech Republic,Gold,1,Rest,5,1,3,5
Czech Republic,Rest of Czech Republic,Silver,2,Rest,5,1,3,5
Czech Republic,Rest of Czech Republic,Silver,3,Rest,5,1,3,5
Czech Republic,Rest of Czech Republic,Bronze,4,Rest,5,1,3,5
Czech Republic,Rest of Czech Republic,Bronze,5,Rest,5,1,3,5
Finland,Finland,Gold,1,All,6,1,2,6
Finland,Finland,Silver,2,All,6,1,2,6
Finland,Finland,Bronze,3,All,6,1,2,6
Finland,Finland,Bronze,4,All,6,1,2,6
Finland,Finland,Bronze,5,All,6,1,2,6
Finland,Finland,Bronze,6,All,6,1,2,6
Finland,Cross-Country Skiing (Finland),Gold,1,Top,4,1,2,4
Finland,Cross-Country Skiing (Finland),Silver,2,Top,4,1,2,4
Finland,Cross-Country Skiing (Finland),Bronze,3,Top,4,1,2,4
Finland,Cross-Country Skiing (Finland),Bronze,4,Top,4,1,2,4
Finland,Rest of Finland,Bronze,1,Rest,2,0,0,2
Finland,Rest of Finland,Bronze,2,Rest,2,0,0,2
France,France,Gold,1,All,15,5,9,15
France,France,Gold,2,All,15,5,9,15
France,France,Gold,3,All,15,5,9,15
France,France,Gold,4,All,15,5,9,15
France,France,Gold,5,All,15,5,9,15
France,France,Silver,6,All,15,5,9,15
France,France,Silver,7,All,15,5,9,15
France,France,Silver,8,All,15,5,9,15
France,France,Silver,9,All,15,5,9,15
France,France,Bronze,10,All,15,5,9,15
France,France,Bronze,11,All,15,5,9,15
France,France,Bronze,12,All,15,5,9,15
France,France,Bronze,13,All,15,5,9,15
France,France,Bronze,14,All,15,5,9,15
France,France,Bronze,15,All,15,5,9,15
France,Biathlon (France),Gold,1,Top,5,3,0,5
France,Biathlon (France),Gold,2,Top,5,3,0,5
France,Biathlon (France),Gold,3,Top,5,3,0,5
France,Biathlon (France),Bronze,4,Top,5,3,0,5
France,Biathlon (France),Bronze,5,Top,5,3,0,5
France,Rest of France,Gold,1,Rest,10,2,6,10
France,Rest of France,Gold,2,Rest,10,2,6,10
France,Rest of France,Silver,3,Rest,10,2,6,10
France,Rest of France,Silver,4,Rest,10,2,6,10
France,Rest of France,Silver,5,Rest,10,2,6,10
France,Rest of France,Silver,6,Rest,10,2,6,10
France,Rest of France,Bronze,7,Rest,10,2,6,10
France,Rest of France,Bronze,8,Rest,10,2,6,10
France,Rest of France,Bronze,9,Rest,10,2,6,10
France,Rest of France,Bronze,10,Rest,10,2,6,10
Germany,Germany,Gold,1,All,31,14,24,31
Germany,Germany,Gold,2,All,31,14,24,31
Germany,Germany,Gold,3,All,31,14,24,31
Germany,Germany,Gold,4,All,31,14,24,31
Germany,Germany,Gold,5,All,31,14,24,31
Germany,Germany,Gold,6,All,31,14,24,31
Germany,Germany,Gold,7,All,31,14,24,31
Germany,Germany,Gold,8,All,31,14,24,31
Germany,Germany,Gold,9,All,31,14,24,31
Germany,Germany,Gold,10,All,31,14,24,31
Germany,Germany,Gold,11,All,31,14,24,31
Germany,Germany,Gold,12,All,31,14,24,31
Germany,Germany,Gold,13,All,31,14,24,31
Germany,Germany,Gold,14,All,31,14,24,31
Germany,Germany,Silver,15,All,31,14,24,31
Germany,Germany,Silver,16,All,31,14,24,31
Germany,Germany,Silver,17,All,31,14,24,31
Germany,Germany,Silver,18,All,31,14,24,31
