Country,Gold,Silver,Bronze,Total,TopSport,TopSportGold,TopSportSilver,TopSportBronze,TopSportTotal,Tooltip1,Goldrest,Silverrest,Bronzerest,Tooltip2,RestTotal
Australia,0,2,1,3,Snowboard,0,1,1,2,"Snowboard (0G, 1S, 1B)",0,1,0,"Rest (0G, 1S, 0B)",1
Austria,5,3,6,14,Alpine Skiing,3,2,2,7,"Alpine Skiing (3G, 2S, 2B)",2,1,4,"Rest (2G, 1S, 4B)",7
Belarus,2,1,0,3,Biathlon,1,1,0,2,"Biathlon (1G, 1S, 0B)",1,0,0,"Rest (1G, 0S, 0B)",1
Belgium,0,1,0,1,Speed skating,0,1,0,1,"Speed skating (0G, 1S, 0B)",0,0,0,"Rest (0G, 0S, 0B)",0
Britain,1,0,4,5,Skeleton,1,0,2,3,"Skeleton (1G, 0S, 2B)",0,0,2,"Rest (0G, 0S, 2B)",2
Canada,11,8,10,29,Freestyle Skating,4,2,1,7,"Freestyle Skating (4G, 2S, 1B)",7,6,9,"Rest (7G, 6S, 9B)",22
China,1,6,2,9,Freestyle Skating,0,2,1,3,"Freestyle Skating (0G, 2S, 1B)",1,4,1,"Rest (1G, 4S, 1B)",6
Czech Republic,2,2,3,7,Snowboard,1,0,1,2,"Snowboard (1G, 0S, 1B)",1,2,2,"Rest (1G, 2S, 2B)",5
Finland,1,1,4,6,Cross-Country Skiing,1,1,2,4,"Cross-Country Skiing (1G, 1S, 2B)",0,0,2,"Rest (0G, 0S, 2B)",2
France,5,4,6,15,Biathlon,3,0,2,5,"Biathlon (3G, 0S, 2B)",2,4,4,"Rest (2G, 4S, 4B)",10
Germany,14,10,7,31,Biathlon,3,1,3,7,"Biathlon (3G, 1S, 3B)",11,9,4,"Rest (11G, 9S, 4B)",24
Hungary,1,0,0,1,Short track speed skating,1,0,0,1,"Short track speed skating (1G, 0S, 0B)",0,0,0,"Rest (0G, 0S, 0B)",0
Italy,3,2,5,10,Short track speed skating,1,1,1,3,"Short track speed skating (1G, 1S, 1B)",2,1,4,"Rest (2G, 1S, 4B)",7
Japan,4,5,4,13,Speed skating,3,2,1,6,"Speed skating (3G, 2S, 1B)",1,3,3,"Rest (1G, 3S, 3B)",7
Kazakhstan,0,0,1,1,Freestyle Skating,0,0,1,1,"Freestyle Skating (0G, 0S, 1B)",0,0,0,"Rest (0G, 0S, 0B)",0
Latvia,0,0,1,1,Bobsled,0,0,1,1,"Bobsled (0G, 0S, 1B)",0,0,0,"Rest (0G, 0S, 0B)",0
Liechtenstein,0,0,1,1,Alpine Skiing,0,0,1,1,"Alpine Skiing (0G, 0S, 1B)",0,0,0,"Rest (0G, 0S, 0B)",0
Netherlands,8,6,6,20,Speed skating,7,4,5,16,"Speed skating (7G, 4S, 5B)",1,2,1,"Rest (1G, 2S, 1B)",4
New Zealand,0,0,2,2,Snowboard,0,0,1,1,"Snowboard (0G, 0S, 1B)",0,0,1,"Rest (0G, 0S, 1B)",1
Norway,14,14,11,39,Cross-Country Skiing,7,4,3,14,"Cross-Country Skiing (7G, 4S, 3B)",7,10,8,"Rest (7G, 10S, 8B)",25
Poland,1,0,1,2,Ski Jumping,1,0,1,2,"Ski Jumping (1G, 0S, 1B)",0,0,0,"Rest (0G, 0S, 0B)",0
Russia,2,6,9,17,Cross-Country Skiing,0,3,5,8,"Cross-Country Skiing (0G, 3S, 5B)",2,3,4,"Rest (2G, 3S, 4B)",9
Slovakia,1,2,0,3,Biathlon,1,2,0,3,"Biathlon (1G, 2S, 0B)",0,0,0,"Rest (0G, 0S, 0B)",0
Slovenia,0,1,1,2,Biathlon,0,1,0,1,"Biathlon (0G, 1S, 0B)",0,0,1,"Rest (0G, 0S, 1B)",1
South Korea,5,8,4,17,Short track speed skating,3,1,2,6,"Short track speed skating (3G, 1S, 2B)",2,7,2,"Rest (2G, 7S, 2B)",11
Spain,0,0,2,2,Figure Skating,0,0,1,1,"Figure Skating (0G, 0S, 1B)",0,0,1,"Rest (0G, 0S, 1B)",1
Sweden,7,6,1,14,Cross-Country Skiing,2,3,1,6,"Cross-Country Skiing (2G, 3S, 1B)",5,3,0,"Rest (5G, 3S, 0B)",8
Switzerland,5,6,4,15,Alpine Skiing,2,3,2,7,"Alpine Skiing (2G, 3S, 2B)",3,3,2,"Rest (3G, 3S, 2B)",8
Ukraine,1,0,0,1,Freestyle Skating,1,0,0,1,"Freestyle Skating (1G, 0S, 0B)",0,0,0,"Rest (0G, 0S, 0B)",0
United States,9,8,6,23,Snowboard,4,2,1,7,"Snowboard (4G, 2S, 1B)",5,6,5,"Rest (5G, 6S, 5B)",16
