x,y,dn,up,alpha
2.791809489,0.863350524,0.861018199,0.865682849,0.01
2.813187074,0.879035391,0.876737232,0.88133355,0.01
2.83456466,0.894720258,0.89245617,0.896984345,0.01
2.855942245,0.910405124,0.908175009,0.912635239,0.01
2.877319831,0.926089991,0.923893746,0.928286237,0.01
2.898697416,0.941774858,0.939612374,0.943937342,0.01
2.920075002,0.957459725,0.955330889,0.95958856,0.01
2.941452587,0.973144592,0.971049286,0.975239897,0.01
2.962830173,0.988829458,0.986767558,0.990891359,0.01
2.984207758,1.004514325,1.002485699,1.006542951,0.01
3.005585344,1.020199192,1.018203704,1.02219468,0.01
3.026962929,1.035884059,1.033921564,1.037846553,0.01
3.048340515,1.051568926,1.049639274,1.053498578,0.01
3.0697181,1.067253792,1.065356823,1.069150761,0.01
3.091095686,1.082938659,1.081074206,1.084803113,0.01
3.112473271,1.098623526,1.096791411,1.100455641,0.01
3.133850857,1.114308393,1.112508431,1.116108355,0.01
3.155228442,1.129993259,1.128225254,1.131761265,0.01
3.176606028,1.145678126,1.14394187,1.147414383,0.01
3.197983613,1.161362993,1.159658267,1.163067719,0.01
3.219361199,1.17704786,1.175374434,1.178721286,0.01
3.240738784,1.192732727,1.191090356,1.194375097,0.01
3.26211637,1.208417593,1.20680602,1.210029167,0.01
3.283493955,1.22410246,1.222521411,1.22568351,0.01
3.304871541,1.239787327,1.238236512,1.241338142,0.01
3.326249126,1.255472194,1.253951306,1.256993082,0.01
3.347626712,1.271157061,1.269665774,1.272648347,0.01
3.369004297,1.286841927,1.285379898,1.288303956,0.01
3.390381883,1.302526794,1.301093656,1.303959933,0.01
3.411759468,1.318211661,1.316807024,1.319616298,0.01
3.433137054,1.333896528,1.33251998,1.335273075,0.01
3.454514639,1.349581394,1.348232497,1.350930292,0.01
3.475892225,1.365266261,1.363944547,1.366587975,0.01
3.49726981,1.380951128,1.379656102,1.382246154,0.01
3.518647395,1.396635995,1.39536713,1.397904859,0.01
3.540024981,1.412320862,1.411077598,1.413564125,0.01
3.561402566,1.428005728,1.42678747,1.429223986,0.01
3.582780152,1.443690595,1.44249671,1.444884481,0.01
3.604157737,1.459375462,1.458205276,1.460545647,0.01
3.625535323,1.475060329,1.473913129,1.476207528,0.01
3.646912908,1.490745195,1.489620224,1.491870167,0.01
3.668290494,1.506430062,1.505326515,1.50753361,0.01
3.689668079,1.522114929,1.521031954,1.523197904,0.01
3.711045665,1.537799796,1.536736493,1.538863099,0.01
3.73242325,1.553484663,1.55244008,1.554529246,0.01
3.753800836,1.569169529,1.568142663,1.570196396,0.01
3.775178421,1.584854396,1.583844189,1.585864604,0.01
3.796556007,1.600539263,1.599544605,1.601533921,0.01
3.817933592,1.61622413,1.615243859,1.6172044,0.01
3.839311178,1.631908997,1.630941899,1.632876094,0.01
3.860688763,1.647593863,1.646638674,1.648549053,0.01
3.882066349,1.66327873,1.662334136,1.664223324,0.01
3.903443934,1.678963597,1.678028241,1.679898952,0.01
3.92482152,1.694648464,1.693720949,1.695575978,0.01
3.946199105,1.71033333,1.709412223,1.711254438,0.01
3.967576691,1.726018197,1.725102034,1.726934361,0.01
3.988954276,1.741703064,1.740790358,1.742615771,0.01
4.010331862,1.757387931,1.756477177,1.758298685,0.01
4.031709447,1.773072798,1.772162482,1.773983113,0.01
4.053087033,1.788757664,1.787846272,1.789669057,0.01
4.074464618,1.804442531,1.803528551,1.805356512,0.01
4.095842204,1.820127398,1.819209332,1.821045464,0.01
4.117219789,1.835812265,1.834888635,1.836735895,0.01
4.138597375,1.851497132,1.850566486,1.852427777,0.01
4.15997496,1.867181998,1.866242918,1.868121078,0.01
4.181352546,1.882866865,1.88191797,1.883815761,0.01
4.202730131,1.898551732,1.897591682,1.899511782,0.01
4.224107716,1.914236599,1.913264102,1.915209095,0.01
4.245485302,1.929921465,1.928935278,1.930907653,0.01
4.266862887,1.945606332,1.944605261,1.946607403,0.01
4.288240473,1.961291199,1.960274104,1.962308294,0.01
4.309618058,1.976976066,1.97594186,1.978010272,0.01
4.330995644,1.992660933,1.991608581,1.993713284,0.01
