Country,Score,Medals,Population,GDP,Atleast10,logGDP,logScore,Continent,logPopulation
Algeria,39,15,39666519,4206.031232,1,3.623872493,0.892094603,Africa,17504.76459
Argentina,733,259,43416755,13431.87834,1,4.128136749,2.16613397,Americas,17595.1477
Armenia,19,11,3017712,3489.12769,1,3.542716863,0.579783597,Asia,14927.46825
Australia,3247,1189,23781169,56310.96299,1,4.750592954,2.812512284,Islands,16992.89539
Austria,392,146,8611088,43774.98517,1,4.641226008,1.894316063,Europe,15976.54418
Azerbaijan,60,26,9651349,5496.34464,1,3.740073957,1.079181246,Asia,16090.64822
Bahamas,97,27,388019,22817.23086,1,4.358262936,1.28780173,Americas,12875.24292
Belarus,255,113,9513000,5740.456495,1,3.75894643,1.707570176,Europe,16076.20259
Belgium,1111,411,11285721,40324.02777,1,4.605563905,2.346744055,Europe,16247.16703
Brazil,1069,431,207847528,8538.589975,1,3.931386159,2.330007701,Americas,19161.88989
Bulgaria,831,333,7177991,6993.47736,1,3.844693173,2.220631019,Europe,15794.42205
Cameroon,105,23,23344179,1217.26067,1,3.08538359,1.322219295,Africa,16974.33973
Canada,1733,649,35851774,43248.52991,1,4.63597135,2.539828558,Americas,17403.59961
Chile,63,33,17948141,13416.23004,1,4.127630496,1.100370545,Americas,16711.34721
China,2559,807,1371220000,8027.68381,1,3.904590258,2.709100282,Asia,21049.48442
Colombia,39,19,48228704,6056.147717,1,3.78219646,0.892094603,Americas,17700.30918
Croatia,366,114,4224404,11535.82936,1,4.062048823,1.864511081,Europe,15264.01567
Czech Republic,156,56,10551219,17548.33821,1,4.244235996,1.494154594,Europe,16179.83649
Denmark,1501,507,5676002,51989.29347,1,4.715913915,2.477410688,Europe,15559.53225
Egypt,76,28,91508084,3614.746766,1,3.558077878,1.181843588,Africa,18341.10232
Estonia,95,39,1311998,17118.5042,1,4.233465814,1.278753601,Europe,14094.10408
Ethiopia,145,45,99390750,619.1694065,1,2.791809489,1.462397998,Africa,18423.77536
Finland,1192,456,5482013,42311.03623,1,4.626453662,2.377306251,Europe,15524.74013
France,4010,1396,66808385,36205.5681,1,4.558775366,2.904174368,Europe,18026.34632
Georgia,59,25,3679000,3795.973308,1,3.57932315,1.071882007,Asia,15125.70935
Germany,3869,1305,81413145,41313.31399,1,4.616090034,2.888628725,Europe,18224.15331
Ghana,18,16,27409893,1369.701122,1,3.136625812,0.556302501,Africa,17134.97635
Greece,408,148,10823732,18002.23058,1,4.25532632,1.911690159,Europe,16205.34897
Hungary,3359,1079,9844686,12363.54346,1,4.09214296,2.82724,Europe,16110.49226
Iceland,47,17,330823,50173.33992,1,4.700473012,0.973127854,Europe,12715.69238
India,732,184,1311050527,1598.259034,1,3.203647168,2.165541077,Asia,21004.58988
Indonesia,106,38,257563815,3346.487039,1,3.524589147,1.326335861,Asia,19376.45985
Ireland,84,30,4640703,61133.67243,1,4.786280486,1.225309282,Europe,15358.05033
Italy,4032,1296,60802085,29957.80432,1,4.47650998,2.906550519,Europe,17932.09471
Jamaica,349,127,2725941,5232.024583,1,3.718669776,1.843855423,Americas,14825.73218
Japan,2184,788,126958472,32477.21514,1,4.511578782,2.64028263,Asia,18668.69873
Kazakhstan,131,49,17544126,10509.98107,1,4.021601934,1.418301291,Asia,16688.56848
Kenya,275,93,46050302,1376.712829,1,3.138843359,1.740362689,Africa,17654.06603
"Korea, South",1569,529,50617045,27221.52405,1,4.434912436,2.496652939,Asia,17748.66736
Latvia,54,20,1978440,13648.54756,1,4.135086437,1.033423755,Europe,14505.06692
Lithuania,89,55,2910199,14147.04938,1,4.150665869,1.250420002,Europe,14891.17265
Mexico,280,106,127017224,9005.024265,1,3.954484887,1.748188027,Americas,18669.16162
Mongolia,50,24,2959134,3967.829386,1,3.598552989,1,Asia,14907.85618
Morocco,56,22,34377511,2878.201342,1,3.459121171,1.049218023,Africa,17361.58817
Netherlands,2341,851,16936520,44299.76809,1,4.646401453,2.670431409,Europe,16653.3039
New Zealand,590,190,4595700,37807.96728,1,4.577583328,2.071882007,Islands,15348.30068
Nigeria,236,84,182201962,2640.290739,1,3.421651752,1.673941999,Africa,19030.13504
Norway,1790,554,5195921,74400.36978,1,4.871575094,2.553883027,Europe,15471.11486
Pakistan,379,121,188924874,1434.696665,1,3.156760089,1.879669206,Asia,19066.38684
Paraguay,51,17,6639123,4080.951448,1,3.610761428,1.008600172,Americas,15716.34337
Peru,47,15,31376670,6027.125855,1,3.78011026,0.973127854,Americas,17270.20453
Poland,1283,511,37999494,12554.54755,1,4.098801066,2.409256652,Europe,17461.80849
Portugal,71,33,10348648,19222.15008,1,4.283801964,1.152288344,Europe,16160.44128
Russia,2200,768,144096812,9092.580536,1,3.958687156,2.643452676,Europe,18795.38737
Serbia,42,14,7098247,5235.142207,1,3.718928483,0.924279286,Europe,15783.24478
Slovakia,98,34,5424050,16088.27759,1,4.206509551,1.292256071,Europe,15514.10521
Slovenia,60,26,2063768,20726.53989,1,4.316526806,1.079181246,Europe,14547.31281
South Africa,304,106,54956920,5723.973357,1,3.757697604,1.783903579,Africa,17830.96971
Spain,1288,442,46418269,25831.58231,1,4.41215101,2.410945859,Europe,17662.0288
Sweden,3174,1044,9798871,50579.67365,1,4.703976023,2.802636918,Europe,16105.82528
Switzerland,1014,380,8286976,80945.07922,1,4.908190452,2.307067951,Europe,15938.15945
Thailand,65,25,67959359,5814.769764,1,3.764532523,1.113943352,Asia,18043.43613
Trinidad and Tobago,40,20,1360088,17321.88468,1,4.238595143,0.903089987,Americas,14130.12032
Tunisia,30,10,11107800,3872.512084,1,3.587992782,0.77815125,Americas,16231.26835
Turkey,288,86,78665830,9125.68759,1,3.960265597,1.760422483,Europe,18189.80828
Ukraine,421,173,45198200,2114.954716,1,3.325301073,1.925312091,Europe,17635.37964
United Kingdom,5146,1720,65138232,43875.96961,1,4.642226727,3.012499778,Europe,18001.01673
United States,16029,4585,321418820,56115.71843,1,4.749084527,3.505936425,Americas,19598.04806
Uruguay,256,76,3431555,15573.90092,1,4.192397407,1.709269961,Americas,15056.04708
Uzbekistan,50,20,31299500,2132.070368,1,3.328801534,1,Asia,17267.7408
Zimbabwe,103,23,15602751,924.1438193,1,2.965739563,1.31386722,Africa,16571.2379
