Country,Sum of Score,Count of Medal,Average of GDP,Atleast10,Continent,logScore,logGDP
Austria,627,223,43774.98517,1,Europe,2.098297536,4.641226008
Canada,561,181,43248.52991,1,Americas,2.049992857,4.63597135
Finland,456,162,42311.03623,1,Europe,1.959994838,4.626453662
France,315,115,36205.5681,1,Europe,1.799340549,4.558775366
Germany,667,207,41313.31399,1,Europe,2.12515583,4.616090034
Norway,1023,329,74400.36978,1,Europe,2.310905629,4.871575094
Sweden,424,144,50579.67365,1,Europe,1.928395852,4.703976023
Switzerland,417,137,80945.07922,1,Europe,1.921166051,4.908190452
United Kingdom,80,28,43875.96961,1,Europe,1.204119983,4.642226727
United States,886,290,56115.71843,1,Americas,2.248463718,4.749084527
Hungary,20,12,12363.54346,1,Europe,0.602059991,4.09214296
Italy,332,116,29957.80432,1,Europe,1.822168079,4.47650998
Netherlands,334,110,44299.76809,1,Europe,1.824776462,4.646401453
Japan,119,45,32477.21514,1,Asia,1.376576957,4.511578782
Poland,58,20,12554.54755,1,Europe,1.064457989,4.098801066
"Korea, South",191,53,27221.52405,1,Asia,1.582063363,4.434912436
China,158,58,8027.68381,1,Asia,1.499687083,3.904590258
Russia,468,142,9092.580536,1,Europe,1.971275849,3.958687156
Belarus,47,15,5740.456495,1,Europe,0.973127854,3.75894643
Australia,38,12,56310.96299,1,Islands,0.880813592,4.750592954
Slovenia,31,15,20726.53989,1,Europe,0.792391689,4.316526806
Czech Republic,73,25,17548.33821,1,Europe,1.164352856,4.244235996
Croatia,39,11,11535.82936,1,Europe,0.892094603,4.062048823
